Name,GOD Score,Team,Traction,Market,Product,Vision,Status,Stage,Raise,Sectors,Location
"Synthesia",89,48,72,50,100,77,approved,1,"","ai; content; enterprise software","Los Angeles, CA"
"Zingroll",89,55,63,50,92,72,approved,1,"","AI/ML","largest, Ne"
"Infravision",88,88,55,30,75,70,approved,1,"","CleanTech; Developer Tools; robotics","As revolutionizing, po"
"Comper",88,68,30,54,82,58,approved,1,"","DevTools; AI/ML; B2B SaaS",""
"Mews",88,43,70,54,100,82,approved,4,"","B2B SaaS; Hospitality; AI/ML",""
"Posthog",88,68,52,49,100,54,approved,2,"","Developer Tools; SaaS","one, pl"
"Heyfuturenexus",88,68,28,54,90,80,approved,1,"","AI/ML; B2B SaaS",""
"Foundingengineer",88,68,22,54,100,62,approved,1,"","DevTools; B2B SaaS",""
"Facet",88,68,52,50,85,73,approved,1,"","","platform for, di"
"IDDQD Internet",87,68,57,50,90,45,approved,1,"","Developer Tools; proptech; saas","company building, ze"
"Odoo",87,43,52,54,97,92,approved,1,"","B2B SaaS; Software",""
"Vestmark",87,68,35,54,75,62,approved,1,"","Fintech; B2B SaaS; AI/ML",""
"ClearScore",87,43,55,54,90,58,approved,1,"","Fintech; Marketplace",""
"GridPlatform",86,50,67,46,90,54,approved,1,"$1M Pre-Seed","AI/ML; Artificial Intelligence; Aviation; Cybersecurity; Data Analytics; Data Platform; Enterprise Software; Financial Services; Real-Time Analytics; SaaS","Miami, FL"
"Farcaster",86,43,58,54,95,69,approved,4,"","Blockchain; Social Media; DevTools",""
"Stream",86,43,62,54,87,65,approved,4,"","Fintech; B2B SaaS",""
"Zurich-based Soverli",86,63,50,50,75,80,approved,1,"","AI/ML; Cybersecurity","based cybersecurity, co"
"one.five",86,43,38,54,95,69,approved,3,"","AI/ML; Sustainable Packaging; B2B SaaS",""
"Levels",86,68,52,50,75,45,approved,1,"","climate tech; healthcare","Metabolic health, pl"
"Trycardinal",86,43,72,54,100,62,approved,1,"","AI/ML",""
"SPW Fabrics",86,43,100,50,65,47,approved,1,"","CleanTech","company that, ac"
"Peripheral Labs",86,68,55,50,90,54,approved,1,"","AI/ML; climate tech; Developer Tools","based developer, of"
"Tooly",86,68,57,30,100,53,approved,2,"","Technology","clean developer, to"
"SF Police Blotter",86,68,55,50,90,57,approved,1,"","","source, re"
"Palona AI",86,68,55,50,75,54,approved,1,"","AI/ML","Palo, Al"
"Doctor Droid",85,68,52,50,82,54,approved,1,"","climate tech; Developer Tools","Developer experience, pl"
"Maven",85,68,72,50,68,45,approved,1,"","EdTech","Course platform, We"
"Zola",85,68,72,50,68,45,approved,1,"","SaaS","Wedding planning, pl"
"GitStory",85,68,55,50,75,57,approved,1,"","","Platform that, tr"
"AheadComputing",85,43,28,54,95,62,approved,2,"","AI/ML; Cloud Infrastructure; Edge Computing",""
"Montage",85,43,60,54,100,69,approved,1,"","AI/ML; B2B SaaS",""
"AiStrike",85,43,27,60,100,73,approved,3,"","AI/ML; Cybersecurity; B2B SaaS",""
"MinecraftLM",85,68,55,50,70,54,approved,1,"","3d modeling; ai/machine learning","Minecraft just, by"
"GPTZero",85,68,22,60,87,47,approved,3,"","AI/ML; Academic Research; B2B SaaS",""
"Lection",85,68,50,50,75,62,approved,1,"","AI/ML; SaaS; Developer Tools","browser sessions, an"
"Port",85,63,55,50,77,62,approved,1,"","AI/ML; CleanTech","Los Angeles, CA"
"SecurityVulnerability.io",85,43,42,60,100,58,approved,1,"","Cybersecurity; B2B SaaS",""
"Harvey",85,43,88,54,68,67,approved,1,"","AI/ML; LegalTech",""
"Theory Ventures",84,68,82,34,60,39,approved,1,"","Developer Tools","Venture capital, fi"
"Mikeayles",84,68,33,34,100,67,approved,1,"","Automotive; Electronics; DevTools",""
"Picoflow",84,43,30,54,100,50,approved,2,"","AI/ML; DevTools; B2B SaaS",""
"Sinpex",84,43,22,54,100,85,approved,3,"","AI/ML; Fintech; B2B SaaS",""
"Logchef",84,68,47,50,68,53,approved,1,"","CleanTech; Developer Tools; SaaS","source, sc"
"Doss",84,68,72,50,68,40,approved,1,"","SaaS","ERP ERP, pl"
"Flippa",84,43,40,54,100,74,approved,1,"","Marketplace; B2B SaaS; E-commerce",""
"Addi",84,63,60,50,82,74,approved,1,"","Fintech","Los Angeles, CA"
"Inferact",84,43,25,54,97,62,approved,1,"","AI/ML; DevTools",""
"BRUM",84,43,43,54,100,54,approved,3,"","EdTech; Consumer",""
"Belief Capital",84,68,50,50,68,65,approved,1,"","CleanTech; Developer Tools","Costa, in"
"Azimov",84,55,100,50,68,34,approved,1,"","AI/ML","An engine, to"
"Nansen",84,43,45,54,100,69,approved,1,"","AI/ML; Fintech; Cryptocurrency; Trading",""
"LLM Gateway",83,43,82,50,60,54,approved,1,"","AI/ML; climate tech; Developer Tools","revenue in, th"
"Shorebird",83,68,52,50,75,49,approved,1,"","climate tech; Developer Tools","Platform supercharging, Fl"
"Presia",83,55,77,50,60,47,approved,1,"","AI/ML","AI agents, fo"
"Dash0",83,68,52,50,75,49,approved,1,"","climate tech; Developer Tools","Observability platform, fo"
"Nathan's Famous",83,43,77,34,50,58,approved,1,"","Consumer; Food and Beverage",""
"MedCity News",83,43,40,54,90,73,approved,1,"","Healthtech; AI/ML",""
"Benepass",83,43,55,54,100,67,approved,4,"","Fintech; B2B SaaS; HR Tech",""
"EnvLock",83,68,52,30,100,45,approved,1,"","","env template, ge"
"TrueFoundry",83,43,33,54,100,69,approved,1,"","AI/ML; B2B SaaS; DevTools",""
"Jump",83,43,30,54,100,73,approved,1,"","B2B SaaS; SportsTech",""
"Seezo",83,68,52,50,75,45,approved,1,"","SaaS","Secure design, pl"
"Inversion Space",82,78,17,34,70,43,approved,2,"Seeking $3M","CleanTech; SpaceTech","space travel, an"
"IVFmicro",82,43,50,50,75,64,approved,1,"","AI/ML; CleanTech","university of, le"
"Skeleton",82,43,100,30,55,45,approved,2,"","Energy","The Estonian, ba"
"Runware",82,68,55,30,82,62,approved,1,"","CleanTech; Developer Tools","their apps, wi"
"GitLab Duo Agent Platform",82,43,32,54,100,69,approved,1,"","AI/ML; DevTools; B2B SaaS",""
"NovoLINC",82,68,47,50,68,57,approved,1,"","CleanTech; Developer Tools","Pittsburgh, Pe"
"Allocation Strategy",82,43,32,54,95,62,approved,2,"","Fintech; B2B SaaS",""
"Anyscale",82,68,55,49,80,33,approved,2,"","AI/ML; Developer Tools",""
"Polar",82,68,55,50,60,49,approved,1,"","climate tech; Developer Tools; Fintech","Global payments, fo"
"Elvy",82,63,53,50,68,69,approved,1,"","AI/ML; Consumer","Los Angeles, CA"
"Echelon",82,63,55,50,75,59,approved,1,"","CleanTech; robotics; saas","expertise, th"
"TERN Group",82,63,55,50,82,67,approved,1,"","AI/ML; healthtech","expertise, th"
"On Me",82,63,45,50,68,69,approved,1,"","AI/ML; E-Commerce; SaaS","Los Angeles, CA"
"Amissa",82,43,42,54,100,69,approved,2,"","AI/ML; Healthtech; B2B SaaS",""
