Name,Firm,Score,Tier,Type,Fund Size,Investments,Exits,Sectors,Geography
"Ivan Kirigin","Tango.vc",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Steven Lee","SV Angel",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Matt Hayes","PJC",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Jonathan Lewy","InvestoVC",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Siqi Chen","Runway",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Severin Hacker","Duolingo",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Richard Jhang","StratMinds",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Jonathan Wasserstrum","SquareFoot",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Jesse Middleton","Flybridge",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Jude Gomila","Golden",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Turnbull & Partners","",7.1,elite,VC,150000000,40,5,"Enterprise Tech; SaaS; Digital Infrastructure","US"
"Scott Belsky","Adobe",7.1,elite,VC,,50,0,"AI/ML; Productivity; SaaS","US"
"Dan Bragiel","Bragiel Brothers",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Jessica Peltz","Hannah Grey",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Shane Mac","Logos Labs",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Jonathan Hirsch","Syapse",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Jinal Jhaveri","Jinal Jhaveri Angel",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Jason Wong","Pughaus",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Daniel Gross","Pioneer.app",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Roberto Sanabria","Expa",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Wayne Chang","Wayne Chang Angel",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Jeff Baehr","RueOne Investments",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Seth Bannon","Fifty Years",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Sergio Romo","Investo",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Test Name Only","Test Firm Only",7.1,elite,VC,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Danny Brown","MaC Venture",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Mo Islam","Threshold",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Yehong Zhu","Zette",7.1,elite,VC,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Richard Dulude","Underscore VC",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Megan Ananian","Megan Ananian GP",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Pierre Giraud","Indigo",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Fabrice Grinda","FJ Labs",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Tim Griffin","Odeko",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Nolan Church","Continuum",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"E3 Capital","",7.1,elite,VC,115000000,40,5,"Climate Tech; Energy; Industrial Tech","US"
"Kamal Ravikant","Kamal Ravikant Angel",7.1,elite,VC,,50,0,"AI/ML; SaaS","US"
"Emma Peng","Target Global",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Jeff Seibert","Jeff Seibert Angel",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Ed Roman","Hack VC",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Yuri Sagalov","Wayfinder",7.1,elite,VC,,50,0,"AI/ML; Healthcare; SaaS","US"
"Sahil Lavingia","Gumroad",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Geri Kirilova","Laconia",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Donna Harris","Builders + Backers",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Thomson Nguyen","Hatch",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Tomer London","Gusto",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Patrick Salyer","Mayfield",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Kaitlyn Doyle","TechNexus Venture Collaborative",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Michael Egziabher","AVG Basecamp",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Nick Pappageorge","Delphi Digital",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Laela Sturdy","CapitalG",7.1,elite,VC Firm,,30,8,"enterprise; fintech; healthcare; saas","United States; Global"
"Katie Haun","Haun Ventures",7.1,elite,VC Firm,,20,5,"blockchain; crypto; web3","Global"
"Jason Shuman","Primary",7.1,elite,VC,,50,0,"AI/ML; HealthTech; SaaS","US"
"Sohail Prasad","Density",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Logan Bartlett","Redpoint Ventures",7.1,elite,VC Firm,,20,6,"fintech; infrastructure; saas","United States"
"Nikhil Basu Trivedi","Footwork",7.1,elite,VC,,50,0,"AI/ML; Fintech; SaaS","US"
"Conviction VC","Conviction VC",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","US"
"operations for SaaS (Bvp)","operations for SaaS (Bvp)",7,strong,Angel,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"hours ago PAI (Pehub)","hours ago PAI (Pehub)",7,strong,Angel,,50,0,"AI/ML; Healthcare; SaaS","US"
"Exponential","Exponential",7,strong,Angel,,50,0,"AI/ML; Healthcare; SaaS","New York, NY"
"SoftBank","SoftBank",7,strong,Angel,,50,0,"AI/ML; Robotics; SaaS","US"
"Member Resources","Member Resources",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","US"
"TA Associates","TA Associates",7,strong,Angel,,50,0,"Financial Services; Healthcare; Technology","US"
"playbook for AI (Bvp)","playbook for AI (Bvp)",7,strong,Angel,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Notation","Notation",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","Brooklyn, NY"
"F6 Ventures","",7,elite,VC,150000000,70,8,"Software; Digital Services; AI/Data","US"
"FinTech Collective","FinTech Collective",7,strong,Angel,,50,0,"Fintech; Payments; Wealth Management","New York, NY"
"Cdixon","Cdixon",7,strong,Angel,,50,0,"AI/ML; Blockchain; SaaS","US"
"Corner Table","Corner Table",7,strong,Angel,,50,0,"AI/ML; Cloud Computing; SaaS","Other"
"state management","state management",7,strong,Angel,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"ai Ravi Mhatre (Lsvp)","ai Ravi Mhatre (Lsvp)",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","US"
"Uncommon Denominator","Uncommon Denominator",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"a16z","Andreessen Horowitz",7,strong,VC,35000000000,0,0,"Technology","US; Global"
"Viviana FagaGeneral (Felicis)","Viviana FagaGeneral (Felicis)",7,strong,Angel,,50,0,"AI/ML; Healthcare; SaaS","US"
"IndieBio","IndieBio",7,strong,Angel,,50,0,"Biotech; Food Tech; Health Tech","US"
"investing network for (Nfx)","investing network for (Nfx)",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","US"
"Expansion VC","Expansion VC",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"FMW Media","FMW Media",7,strong,Angel,,50,0,"Healthcare; Media; Technology","New York, NY"
"25madison","25madison",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"The Helm","The Helm",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","Brooklyn, NY"
"minutes ago PAI (Pehub)","minutes ago PAI (Pehub)",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","US"
"Hypothesis","Hypothesis",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Betaworks","Betaworks",7,strong,Angel,,50,0,"AI/ML; Consumer Internet; SaaS","New York, NY"
"for early stage (Bvp)","for early stage (Bvp)",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","US"
"Black Jays Investments","Black Jays Investments",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Dollar Business Management","Dollar Business Management",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","US"
"Platinum Equity","Platinum Equity",7,strong,Angel,,50,0,"Logistics; Media; Technology","US"
"TPG Growth","TPG Growth",7,strong,Angel,,50,0,"Consumer; Healthcare; Technology","US"
"Atlas Unlimited for (Bvp)","Atlas Unlimited for (Bvp)",7,strong,Angel,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"The Average (Tomtunguz)","The Average (Tomtunguz)",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","US"
"invested in diverse (Nfx)","invested in diverse (Nfx)",7,strong,Angel,,50,0,"AI/ML; Fintech; SaaS","US"
"Brookfield","Brookfield",7,strong,Angel,,50,0,"AI/ML; Healthcare; SaaS","US"
"RTP Seed","RTP Seed",7,strong,Angel,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Florida Funders","",6.9,strong,VC,300000000,100,0,"Software; Tech (General)","US"
"Capagro","",6.9,strong,VC,75000000,45,5,"Agtech; Sustainable Food; Supply Chain Tech","US; North America"
"Andreessen Horowitz","Andreessen Horowitz",6.9,strong,Angel,35000000000,150,0,"AI/ML; Consumer; Crypto/Web3; Defense; Fintech; Healthcare; Robotics; SaaS","US; Global"
"Andreessen Horowitz (a16z)","Andreessen Horowitz",6.9,strong,VC,35000000000,0,0,"American dynamism; Artificial intelligence; Bio + healthcare; Crypto/Web3; Developer tools; E-commerce; Fintech; Games; Saas","US; Global"
"e2vc","",6.9,strong,VC,45000000,40,5,"B2B SaaS; Deep Tech","Eastern Europe; MENA"
"Ilya Eremeev","The Games Fund",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Story Ventures","Story Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Capital Association","Capital Association",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Koda Wang","Giant Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"David Mort","Propel Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Dilek Dayinlarli","ScaleX Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Manan Mehta","Unshackled Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Dan Moskowitz","Third Point Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Terrence Rohan","Otherwise Fund",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Kevin Weatherman","KW Angel Fund",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Dave Eisenberg","Zigg Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Differential Ventures","Differential Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Chris Wake","Atypical Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Tournon Ventures","Tournon Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Lakehouse Ventures","Lakehouse Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Data Infrastructure; SaaS","New York, NY"
"Human Ventures","Human Ventures",6.8,strong,VC Firm,,50,0,"Consumer Products; Healthtech; SaaS","New York, NY"
"AlphaPrime Ventures","AlphaPrime Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","New York, NY"
"FirstMark Capital","FirstMark Capital",6.8,strong,VC Firm,,50,0,"AI/ML; E-commerce; SaaS","New York, NY"
"Communitas Capital","Communitas Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Daniel Gulati","Treble Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Marc McCabe","Nomad Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Amplifyher Ventures","Amplifyher Ventures",6.8,strong,VC Firm,,50,0,"Healthcare; Sustainability; Technology","New York, NY"
"Ishan Sachdev","Deciens Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Michael Downing","MDSV Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Nilesh Trivedi","J-Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Tectonic Ventures","Tectonic Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","Other"
"Jonathan Tang","Pioneer Fund",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Third Kind Venture Capital","Third Kind Venture Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Kiva Dickinson","Selva Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Brooklyn Bridge Ventures","Brooklyn Bridge Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","Brooklyn, NY"
"Lacey Johnson","Alumni Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Peter Livingston","Unpopular Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Angel Capital","Angel Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Looking Glass Capital","Looking Glass Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Nate Cooper","Barrel Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Primary Venture Partners","Primary Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Acronym Venture Capital","Acronym Venture Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Johnnie Yu","Listen Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Counterview Capital","Counterview Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Cloquet Capital Partners","Cloquet Capital Partners",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"New York Venture Partners","New York Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Michael Ma","Liquid2 Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Li Jin","Atelier Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Consumer Internet; SaaS","US"
"Rich Maloy","SpringTime Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Mark Lee","Mucker Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Fintech Ventures Fund","Fintech Ventures Fund",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Michael Lee","Bull City Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Robotics; SaaS","US"
"Dan Westgarth","Expansion Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"TACK Ventures","TACK Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","Brooklyn, NY"
"Jonathan Abrams","8-Bit Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Lan Xuezhao","Basis Set Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Michael Cardamone","Forum Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Nate Bosshard","Offline Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Gary Sheynkman","Leyden Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"John Smothers","Acrew Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Jessica Karr","Coyote Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"John Diaz","Stone Mountain Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Ravi Grover","Data Tech Fund",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Gyan Kapur","Surface Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Yigit Ihlamur","Vela Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Jillian Cohn","Mouro Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Jamie Quint","Uncommon Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"NextView Ventures","NextView Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"NOEMIS Ventures","NOEMIS Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Morgan Livermore","Quiet Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Tina Bou-Saba","Verity Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"million growth capital","million growth capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Advancit Capital","Advancit Capital",6.8,strong,VC Firm,,50,0,"Entertainment; Media; Technology","New York, NY"
"Triet Nguyen","Render Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Patrick Mathieson","Toba Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"TIA Ventures","TIA Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Shruti Gandhi","Array Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Mario Mitchell","Mech Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Stephen Schmalhofer","Teamworthy Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Turner Novak","Banana Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"APA Venture Partners","APA Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Pasha Tinkov","Audeo Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"based venture capital","based venture capital",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
